sequence,depth,T_HW_ms,cycles,MMAC,weights,bottlenecks,block_cycles,hw_feasible_on_bitstream,infeasible_at
16-64-16-64-64,5,18.868680,1886868,191.692800,8683,PW-PW-DW-PW-PW,518400/489600/475668/122400/280800,0,b3 G*Cin=2560
16-48-48-64-32-64,6,18.882320,1888232,231.091200,12187,PW-DW-DW-PW-PW-PW,518400/469300/356932/223200/154800/165600,1,
16-48-64-16-64-64,6,18.882320,1888232,227.404800,11931,PW-DW-DW-PW-PW-PW,518400/469300/356932/140400/122400/280800,1,
16-48-64-64-16-64,6,18.882320,1888232,227.404800,11931,PW-DW-DW-PW-PW-PW,518400/469300/356932/280800/140400/122400,1,
16-48-32-32-64-64,6,18.882320,1888232,217.958400,11275,PW-DW-DW-PW-PW-PW,518400/469300/356932/97200/165600/280800,1,
16-16-48-64-64-64,6,18.919600,1891960,238.464000,14235,PW-DW-DW-PW-PW-PW,518400/469300/119460/223200/280800/280800,1,
16-64-32-16-48-64,6,18.922680,1892268,197.452800,9083,PW-PW-DW-PW-PW-PW,518400/489600/475668/82800/102600/223200,0,b3 G*Cin=2560
16-64-64-32-32-64,6,19.012680,1901268,242.150400,12187,PW-PW-DW-PW-PW-PW,518400/489600/475668/154800/97200/165600,0,b3 G*Cin=2560
16-48-64-48-32-64,6,19.026320,1902632,234.777600,12443,PW-DW-DW-PW-PW-PW,518400/469300/356932/266400/126000/165600,1,
16-48-64-64-64,5,19.062320,1906232,254.822400,13835,PW-DW-DW-PW-PW,518400/469300/356932/280800/280800,1,
16-32-16-64-64-64,6,19.098960,1909896,217.958400,12043,PW-DW-DW-PW-PW-PW,518400/469300/238196/122400/280800/280800,1,
16-64-32-64-16-64,6,19.120680,1912068,195.840000,8971,PW-PW-DW-PW-PW-PW,518400/489600/475668/165600/140400/122400,0,b3 G*Cin=2560
16-64-48-48-64,5,19.156680,1915668,226.944000,11131,PW-PW-DW-PW-PW,518400/489600/475668/208800/223200,0,b3 G*Cin=2560
16-48-48-32-64-64,6,19.170320,1917032,238.464000,12699,PW-DW-DW-PW-PW-PW,518400/469300/356932/126000/165600/280800,1,
16-64-48-16-48-64,6,19.210680,1921068,217.958400,10507,PW-PW-DW-PW-PW-PW,518400/489600/475668/111600/102600/223200,0,b3 G*Cin=2560
16-32-64-48-48-64,6,19.242960,1924296,231.091200,12955,PW-DW-DW-PW-PW-PW,518400/469300/238196/266400/208800/223200,1,
16-64-32-48-32-64,6,19.264680,1926468,210.585600,9995,PW-PW-DW-PW-PW-PW,518400/489600/475668/151200/126000/165600,0,b3 G*Cin=2560
16-64-48-48-16-64,6,19.264680,1926468,210.585600,9995,PW-PW-DW-PW-PW-PW,518400/489600/475668/208800/111600/122400,0,b3 G*Cin=2560
16-64-16-64-32-64,6,19.264680,1926468,195.840000,8971,PW-PW-DW-PW-PW-PW,518400/489600/475668/122400/154800/165600,0,b3 G*Cin=2560
16-64-16-32-48-64,6,19.264680,1926468,193.766400,8827,PW-PW-DW-PW-PW-PW,518400/489600/475668/68400/151200/223200,0,b3 G*Cin=2560
16-48-32-48-48-64,6,19.278320,1927832,214.272000,11019,PW-DW-DW-PW-PW-PW,518400/469300/356932/151200/208800/223200,1,
16-64-32-64-64,5,19.300680,1930068,223.257600,10875,PW-PW-DW-PW-PW,518400/489600/475668/165600/280800,0,b3 G*Cin=2560
16-32-48-48-64-64,6,19.386960,1938696,238.464000,13467,PW-DW-DW-PW-PW-PW,518400/469300/238196/208800/223200/280800,1,
16-32-48-64-48-64,6,19.386960,1938696,234.777600,13211,PW-DW-DW-PW-PW-PW,518400/469300/238196/223200/266400/223200,1,
16-64-16-16-64-64,6,19.408680,1940868,197.452800,9083,PW-PW-DW-PW-PW-PW,518400/489600/475668/54000/122400/280800,0,b3 G*Cin=2560
16-48-64-32-64-64,6,19.458320,1945832,258.969600,14123,PW-DW-DW-PW-PW-PW,518400/469300/356932/154800/165600/280800,1,
16-48-64-64-32-64,6,19.458320,1945832,258.969600,14123,PW-DW-DW-PW-PW-PW,518400/469300/356932/280800/154800/165600,1,
16-64-64-16-48-64,6,19.498680,1949868,238.464000,11931,PW-PW-DW-PW-PW-PW,518400/489600/475668/140400/102600/223200,0,b3 G*Cin=2560
16-48-16-48-64-64,6,19.512320,1951232,217.958400,11275,PW-DW-DW-PW-PW-PW,518400/469300/356932/102600/223200/280800,1,
16-16-64-64-64-64,6,19.525000,1952500,258.969600,15659,PW-DW-PW-PW-PW-PW,518400/469300/122400/280800/280800/280800,1,
16-32-32-64-64-64,6,19.530960,1953096,242.150400,13723,PW-DW-DW-PW-PW-PW,518400/469300/238196/165600/280800/280800,1,
16-64-32-32-48-64,6,19.552680,1955268,217.958400,10507,PW-PW-DW-PW-PW-PW,518400/489600/475668/97200/151200/223200,0,b3 G*Cin=2560
16-48-16-64-48-64,6,19.566320,1956632,206.899200,10507,PW-DW-DW-PW-PW-PW,518400/469300/356932/122400/266400/223200,1,
16-64-32-64-32-64,6,19.696680,1969668,227.404800,11163,PW-PW-DW-PW-PW-PW,518400/489600/475668/165600/154800/165600,0,b3 G*Cin=2560
16-64-48-64-16-64,6,19.696680,1969668,227.404800,11163,PW-PW-DW-PW-PW-PW,518400/489600/475668/223200/140400/122400,0,b3 G*Cin=2560
16-64-32-16-64-64,6,19.696680,1969668,217.958400,10507,PW-PW-DW-PW-PW-PW,518400/489600/475668/82800/122400/280800,0,b3 G*Cin=2560
16-64-64-48-64,5,19.732680,1973268,254.822400,13067,PW-PW-DW-PW-PW,518400/489600/475668/266400/223200,0,b3 G*Cin=2560
